Thread ID,Client IP Address,Client Port,User Latitud,User Longitud
4.7565587,-74.0377645,192.168.0.10,44513,Hello
83,192.168.0.10,54643,4.7565587,-74.0377645
85,192.168.0.10,50350,4.7565587,-74.0377645
18,192.168.0.10,59840,4.7565587,-74.0377645
86,192.168.0.10,59787,4.7565587,-74.0377645
81,192.168.0.10,55542,4.7565587,-74.0377645
84,192.168.0.10,34319,4.7565587,-74.0377645
13,192.168.0.10,38076,4.7565587,-74.0377645
91,192.168.0.10,56603,4.7565587,-74.0377645
99,192.168.0.10,47245,4.7565587,-74.0377645
87,192.168.0.10,44614,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
97,192.168.0.10,51769,4.7565587,-74.0377645
98,192.168.0.10,48029,4.7565587,-74.0377645
96,192.168.0.10,45092,4.7565587,-74.0377645
92,192.168.0.10,52486,4.7565587,-74.0377645
24,192.168.0.10,58228,4.7565587,-74.0377645
43,192.168.0.10,55213,4.7565587,-74.0377645
27,192.168.0.10,48371,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7565587,-74.0377645
26,192.168.0.10,36217,4.7565587,-74.0377645
35,192.168.0.10,37505,4.7565587,-74.0377645
29,192.168.0.10,59456,4.7565587,-74.0377645
31,192.168.0.10,38085,4.7565587,-74.0377645
42,192.168.0.10,39353,4.7565587,-74.0377645
44,192.168.0.10,49095,4.7565587,-74.0377645
37,192.168.0.10,41319,4.7565587,-74.0377645
28,192.168.0.10,47522,4.7565587,-74.0377645
41,192.168.0.10,33612,4.7565587,-74.0377645
4.7565587,-74.0377645,192.168.0.10,44513,23
85,192.168.0.10,50350,4.7565587,-74.0377645
83,192.168.0.10,54643,4.7565587,-74.0377645
81,192.168.0.10,55542,4.7565587,-74.0377645
86,192.168.0.10,59787,4.7565587,-74.0377645
18,192.168.0.10,59840,4.7565587,-74.0377645
84,192.168.0.10,34319,4.7565587,-74.0377645
25,192.168.0.10,45223,4.7565587,-74.0377645
87,192.168.0.10,44614,4.7565587,-74.0377645
99,192.168.0.10,47245,4.7565587,-74.0377645
91,192.168.0.10,56603,4.7565587,-74.0377645
13,192.168.0.10,38076,4.7565587,-74.0377645
96,192.168.0.10,45092,4.7565587,-74.0377645
98,192.168.0.10,48029,4.7565587,-74.0377645
24,192.168.0.10,58228,4.7565587,-74.0377645
28,192.168.0.10,47522,4.7565587,-74.0377645
92,192.168.0.10,52486,4.7565587,-74.0377645
35,192.168.0.10,37505,4.7565587,-74.0377645
26,192.168.0.10,36217,4.7565587,-74.0377645
44,192.168.0.10,49095,4.7565587,-74.0377645
43,192.168.0.10,55213,4.7565587,-74.0377645
27,192.168.0.10,48371,4.7565587,-74.0377645
37,192.168.0.10,41319,4.7565587,-74.0377645
29,192.168.0.10,59456,4.7565587,-74.0377645
41,192.168.0.10,33612,4.7565587,-74.0377645
42,192.168.0.10,39353,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7565587,-74.0377645
31,192.168.0.10,38085,4.7565587,-74.0377645
50,192.168.0.10,50723,4.7565587,-74.0377645
46,192.168.0.10,54026,4.7565587,-74.0377645
47,192.168.0.10,43258,4.7565587,-74.0377645
48,192.168.0.10,41021,4.7565587,-74.0377645
4.7565587,-74.0377645,192.168.0.10,44513,23
55,192.168.0.10,56493,4.7565587,-74.0377645
52,192.168.0.10,60396,4.7565587,-74.0377645
51,192.168.0.10,46263,4.7565587,-74.0377645
49,192.168.0.10,50250,4.7565587,-74.0377645
97,192.168.0.10,51769,4.7565587,-74.0377645
97,192.168.0.10,51769,4.7565587,-74.0377645
58,192.168.0.10,41795,4.7565587,-74.0377645
59,192.168.0.10,37984,4.7565587,-74.0377645
60,192.168.0.10,40125,4.7565587,-74.0377645
62,192.168.0.10,36530,4.7565587,-74.0377645
53,192.168.0.10,42005,4.7565587,-74.0377645
18,192.168.0.10,59840,4.7565587,-74.0377645
54,192.168.0.10,51574,4.7565587,-74.0377645
73,192.168.0.10,52513,4.7565587,-74.0377645
63,192.168.0.10,35814,4.7565587,-74.0377645
69,192.168.0.10,34114,4.7565587,-74.0377645
13,192.168.0.10,38076,4.7565587,-74.0377645
65,192.168.0.10,49970,4.7565587,-74.0377645
25,192.168.0.10,45223,4.7565587,-74.0377645
50,192.168.0.10,50723,4.7565587,-74.0377645
46,192.168.0.10,54026,4.7565587,-74.0377645
47,192.168.0.10,43258,4.7565587,-74.0377645
48,192.168.0.10,41021,4.7565587,-74.0377645
55,192.168.0.10,56493,4.7565587,-74.0377645
52,192.168.0.10,60396,4.7565587,-74.0377645
85,192.168.0.10,50350,4.7565587,-74.0377645
81,192.168.0.10,55542,4.7565587,-74.0377645
84,192.168.0.10,34319,4.7565587,-74.0377645
51,192.168.0.10,46263,4.7565587,-74.0377645
49,192.168.0.10,50250,4.7565587,-74.0377645
87,192.168.0.10,44614,4.7565587,-74.0377645
99,192.168.0.10,47245,4.7565587,-74.0377645
86,192.168.0.10,59787,4.7565587,-74.0377645
42,192.168.0.10,39353,4.7565587,-74.0377645
35,192.168.0.10,37505,4.7565587,-74.0377645
64,192.168.0.10,41992,4.7565587,-74.0377645
28,192.168.0.10,47522,4.7565587,-74.0377645
26,192.168.0.10,36217,4.7565587,-74.0377645
29,192.168.0.10,59456,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7565587,-74.0377645
43,192.168.0.10,55213,4.7565587,-74.0377645
37,192.168.0.10,41319,4.7565587,-74.0377645
27,192.168.0.10,48371,4.7565587,-74.0377645
96,192.168.0.10,45092,4.7565587,-74.0377645
31,192.168.0.10,38085,4.7565587,-74.0377645
44,192.168.0.10,49095,4.7565587,-74.0377645
96,192.168.0.10,45092,4.7565587,-74.0377645
41,192.168.0.10,33612,4.7565587,-74.0377645
91,192.168.0.10,56603,4.7565587,-74.0377645
91,192.168.0.10,56603,4.7565587,-74.0377645
57,192.168.0.10,42411,4.7565587,-74.0377645
4.7565587,-74.0377645,192.168.0.10,44513,23
18,192.168.0.10,59840,4.7565587,-74.0377645
13,192.168.0.10,38076,4.7565587,-74.0377645
25,192.168.0.10,45223,4.7565587,-74.0377645
97,192.168.0.10,51769,4.7565587,-74.0377645
53,192.168.0.10,42005,4.7565587,-74.0377645
58,192.168.0.10,41795,4.7565587,-74.0377645
54,192.168.0.10,51574,4.7565587,-74.0377645
69,192.168.0.10,34114,4.7565587,-74.0377645
73,192.168.0.10,52513,4.7565587,-74.0377645
59,192.168.0.10,37984,4.7565587,-74.0377645
65,192.168.0.10,49970,4.7565587,-74.0377645
60,192.168.0.10,40125,4.7565587,-74.0377645
63,192.168.0.10,35814,4.7565587,-74.0377645
62,192.168.0.10,36530,4.7565587,-74.0377645
84,192.168.0.10,34319,4.7565587,-74.0377645
85,192.168.0.10,50350,4.7565587,-74.0377645
81,192.168.0.10,55542,4.7565587,-74.0377645
99,192.168.0.10,47245,4.7565587,-74.0377645
86,192.168.0.10,59787,4.7565587,-74.0377645
35,192.168.0.10,37505,4.7565587,-74.0377645
28,192.168.0.10,47522,4.7565587,-74.0377645
64,192.168.0.10,41992,4.7565587,-74.0377645
42,192.168.0.10,39353,4.7565587,-74.0377645
26,192.168.0.10,36217,4.7565587,-74.0377645
29,192.168.0.10,59456,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7565587,-74.0377645
27,192.168.0.10,48371,4.7565587,-74.0377645
43,192.168.0.10,55213,4.7565587,-74.0377645
37,192.168.0.10,41319,4.7565587,-74.0377645
87,192.168.0.10,44614,4.7565587,-74.0377645
31,192.168.0.10,38085,4.7565587,-74.0377645
44,192.168.0.10,49095,4.7565587,-74.0377645
41,192.168.0.10,33612,4.7565587,-74.0377645
57,192.168.0.10,42411,4.7565587,-74.0377645
80,192.168.0.10,56829,4.7565587,-74.0377645
75,192.168.0.10,51740,4.7565587,-74.0377645
74,192.168.0.10,42469,4.7565587,-74.0377645
66,192.168.0.10,40777,4.7565587,-74.0377645
70,192.168.0.10,52708,4.7565587,-74.0377645
71,192.168.0.10,50707,4.7565587,-74.0377645
92,192.168.0.10,52486,4.7565587,-74.0377645
98,192.168.0.10,48029,4.7565587,-74.0377645
92,192.168.0.10,52486,4.7565587,-74.0377645
98,192.168.0.10,48029,4.7565587,-74.0377645
4.7565587,-74.0377645,192.168.0.10,44513,23
46,192.168.0.10,54026,4.7565587,-74.0377645
48,192.168.0.10,41021,4.7565587,-74.0377645
50,192.168.0.10,50723,4.7565587,-74.0377645
47,192.168.0.10,43258,4.7565587,-74.0377645
52,192.168.0.10,60396,4.7565587,-74.0377645
49,192.168.0.10,50250,4.7565587,-74.0377645
51,192.168.0.10,46263,4.7565587,-74.0377645
55,192.168.0.10,56493,4.7565587,-74.0377645
85,192.168.0.10,50350,4.7565587,-74.0377645
25,192.168.0.10,45223,4.7565587,-74.0377645
18,192.168.0.10,59840,4.7565587,-74.0377645
86,192.168.0.10,59787,4.7565587,-74.0377645
84,192.168.0.10,34319,4.7565587,-74.0377645
81,192.168.0.10,55542,4.7565587,-74.0377645
87,192.168.0.10,44614,4.7565587,-74.0377645
13,192.168.0.10,38076,4.7565587,-74.0377645
91,192.168.0.10,56603,4.7565587,-74.0377645
99,192.168.0.10,47245,4.7565587,-74.0377645
96,192.168.0.10,45092,4.7565587,-74.0377645
98,192.168.0.10,48029,4.7565587,-74.0377645
97,192.168.0.10,51769,4.7565587,-74.0377645
57,192.168.0.10,42411,4.7565587,-74.0377645
92,192.168.0.10,52486,4.7565587,-74.0377645
53,192.168.0.10,42005,4.7565587,-74.0377645
64,192.168.0.10,41992,4.7565587,-74.0377645
73,192.168.0.10,52513,4.7565587,-74.0377645
83,192.168.0.10,54643,4.7565587,-74.0377645
83,192.168.0.10,54643,4.7565587,-74.0377645
83,192.168.0.10,54643,4.7565587,-74.0377645
58,192.168.0.10,41795,4.7565587,-74.0377645
69,192.168.0.10,34114,4.7565587,-74.0377645
60,192.168.0.10,40125,4.7565587,-74.0377645
65,192.168.0.10,49970,4.7565587,-74.0377645
63,192.168.0.10,35814,4.7565587,-74.0377645
59,192.168.0.10,37984,4.7565587,-74.0377645
62,192.168.0.10,36530,4.7565587,-74.0377645
80,192.168.0.10,56829,4.7565587,-74.0377645
54,192.168.0.10,51574,4.7565587,-74.0377645
61,192.168.0.10,33093,4.7565587,-74.0377645
68,192.168.0.10,49347,4.7565587,-74.0377645
75,192.168.0.10,51740,4.7565587,-74.0377645
42,192.168.0.10,39353,4.7565587,-74.0377645
35,192.168.0.10,37505,4.7565587,-74.0377645
28,192.168.0.10,47522,4.7565587,-74.0377645
26,192.168.0.10,36217,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7565587,-74.0377645
4.7565587,-74.0377645,192.168.0.10,44513,23
43,192.168.0.10,55213,4.7565587,-74.0377645
29,192.168.0.10,59456,4.7565587,-74.0377645
74,192.168.0.10,42469,4.7565587,-74.0377645
66,192.168.0.10,40777,4.7565587,-74.0377645
44,192.168.0.10,49095,4.7565587,-74.0377645
37,192.168.0.10,41319,4.7565587,-74.0377645
27,192.168.0.10,48371,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
41,192.168.0.10,33612,4.7565587,-74.0377645
31,192.168.0.10,38085,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
70,192.168.0.10,52708,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
71,192.168.0.10,50707,4.7565587,-74.0377645
46,192.168.0.10,54026,4.7565587,-74.0377645
50,192.168.0.10,50723,4.7565587,-74.0377645
47,192.168.0.10,43258,4.7565587,-74.0377645
51,192.168.0.10,46263,4.7565587,-74.0377645
48,192.168.0.10,41021,4.7565587,-74.0377645
52,192.168.0.10,60396,4.7565587,-74.0377645
49,192.168.0.10,50250,4.7565587,-74.0377645
24,192.168.0.10,58228,4.7565587,-74.0377645
57,192.168.0.10,42411,4.7565587,-74.0377645
64,192.168.0.10,41992,4.7565587,-74.0377645
18,192.168.0.10,59840,4.7565587,-74.0377645
73,192.168.0.10,52513,4.7565587,-74.0377645
53,192.168.0.10,42005,4.7565587,-74.0377645
69,192.168.0.10,34114,4.7565587,-74.0377645
25,192.168.0.10,45223,4.7565587,-74.0377645
13,192.168.0.10,38076,4.7565587,-74.0377645
29,192.168.0.10,59456,4.7565587,-74.0377645
58,192.168.0.10,41795,4.7565587,-74.0377645
60,192.168.0.10,40125,4.7565587,-74.0377645
27,192.168.0.10,48371,4.7565587,-74.0377645
41,192.168.0.10,33612,4.7565587,-74.0377645
37,192.168.0.10,41319,4.7565587,-74.0377645
63,192.168.0.10,35814,4.7565587,-74.0377645
65,192.168.0.10,49970,4.7565587,-74.0377645
59,192.168.0.10,37984,4.7565587,-74.0377645
85,192.168.0.10,50350,4.7565587,-74.0377645
75,192.168.0.10,51740,4.7565587,-74.0377645
83,192.168.0.10,54643,4.7565587,-74.0377645
54,192.168.0.10,51574,4.7565587,-74.0377645
61,192.168.0.10,33093,4.7565587,-74.0377645
62,192.168.0.10,36530,4.7565587,-74.0377645
68,192.168.0.10,49347,4.7565587,-74.0377645
86,192.168.0.10,59787,4.7565587,-74.0377645
81,192.168.0.10,55542,4.7565587,-74.0377645
87,192.168.0.10,44614,4.7565587,-74.0377645
84,192.168.0.10,34319,4.7565587,-74.0377645
92,192.168.0.10,52486,4.7565587,-74.0377645
98,192.168.0.10,48029,4.7565587,-74.0377645
99,192.168.0.10,47245,4.7565587,-74.0377645
42,192.168.0.10,39353,4.7565587,-74.0377645
26,192.168.0.10,36217,4.7565587,-74.0377645
91,192.168.0.10,56603,4.7565587,-74.0377645
28,192.168.0.10,47522,4.7565587,-74.0377645
35,192.168.0.10,37505,4.7565587,-74.0377645
97,192.168.0.10,51769,4.7565587,-74.0377645
97,192.168.0.10,51769,4.7565587,-74.0377645
50,192.168.0.10,50723,4.7565587,-74.0377645
46,192.168.0.10,54026,4.7565587,-74.0377645
55,192.168.0.10,56493,4.7565587,-74.0377645
80,192.168.0.10,56829,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7565587,-74.0377645
43,192.168.0.10,55213,4.7565587,-74.0377645
74,192.168.0.10,42469,4.7565587,-74.0377645
74,192.168.0.10,42469,4.7565587,-74.0377645
43,192.168.0.10,55213,4.7565587,-74.0377645
66,192.168.0.10,40777,4.7565587,-74.0377645
44,192.168.0.10,49095,4.7565587,-74.0377645
66,192.168.0.10,40777,4.7565587,-74.0377645
44,192.168.0.10,49095,4.7565587,-74.0377645
31,192.168.0.10,38085,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
31,192.168.0.10,38085,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
89,192.168.0.10,47528,4.7565587,-74.0377645
70,192.168.0.10,52708,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
70,192.168.0.10,52708,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7565587,-74.0377645
71,192.168.0.10,50707,4.7565587,-74.0377645
71,192.168.0.10,50707,4.7565587,-74.0377645
32,192.168.0.10,55873,4.7559712,-74.0381717
70,192.168.0.10,52708,4.7559712,-74.0381717
44,192.168.0.10,49095,4.7559712,-74.0381717
43,192.168.0.10,55213,4.7559712,-74.0381717
31,192.168.0.10,38085,4.7559712,-74.0381717
71,192.168.0.10,50707,4.7559712,-74.0381717
47,192.168.0.10,43258,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7559712,-74.0381717
47,192.168.0.10,43258,4.7565587,-74.0377645
88,192.168.0.10,50292,4.7559712,-74.0381717
47,192.168.0.10,43258,4.7559712,-74.0381717
47,192.168.0.10,43258,4.7559712,-74.0381717
51,192.168.0.10,46263,4.7565587,-74.0377645
51,192.168.0.10,46263,4.7565587,-74.0377645
52,192.168.0.10,60396,4.7565587,-74.0377645
51,192.168.0.10,46263,4.7559712,-74.0381717
52,192.168.0.10,60396,4.7565587,-74.0377645
51,192.168.0.10,46263,4.7559712,-74.0381717
52,192.168.0.10,60396,4.7559712,-74.0381717
52,192.168.0.10,60396,4.7559712,-74.0381717
48,192.168.0.10,41021,4.7565587,-74.0377645
49,192.168.0.10,50250,4.7565587,-74.0377645
48,192.168.0.10,41021,4.7565587,-74.0377645
49,192.168.0.10,50250,4.7565587,-74.0377645
48,192.168.0.10,41021,4.7559712,-74.0381717
49,192.168.0.10,50250,4.7559712,-74.0381717
48,192.168.0.10,41021,4.7559712,-74.0381717
49,192.168.0.10,50250,4.7559712,-74.0381717
24,192.168.0.10,58228,4.7565587,-74.0377645
24,192.168.0.10,58228,4.7565587,-74.0377645
24,192.168.0.10,58228,4.7565587,-74.0377645
24,192.168.0.10,58228,4.7565587,-74.0377645
24,192.168.0.10,58228,4.7559712,-74.0381717
24,192.168.0.10,58228,4.7559712,-74.0381717
24,192.168.0.10,58228,4.7559712,-74.0381717
4.7565587,-74.0377645,192.168.0.10,44513,23
57,192.168.0.10,42411,4.7565587,-74.0377645
4.7565587,-74.0377645,192.168.0.10,44513,23
64,192.168.0.10,41992,4.7565587,-74.0377645
4.7559712,-74.0381717,192.168.0.10,44513,23
64,192.168.0.10,41992,4.7565587,-74.0377645
4.7559712,-74.0381717,192.168.0.10,44513,23
64,192.168.0.10,41992,4.7559712,-74.0381717
73,192.168.0.10,52513,4.7565587,-74.0377645
64,192.168.0.10,41992,4.7559712,-74.0381717
18,192.168.0.10,59840,4.7565587,-74.0377645
53,192.168.0.10,42005,4.7565587,-74.0377645
18,192.168.0.10,59840,4.7565587,-74.0377645
69,192.168.0.10,34114,4.7565587,-74.0377645
53,192.168.0.10,42005,4.7565587,-74.0377645
